Z     age    Bmag   Vmag  
0.015 7.000  -0.862 -0.683
0.015 7.000   6.174  5.231
0.015 7.000   6.099  5.168
0.015 7.000   6.115  5.181
0.015 7.000   6.925  5.856
0.015 7.000   5.230  4.434
0.015 7.000   4.781  4.052
0.015 7.000   4.348  3.683
0.015 7.000   7.816  6.608
0.015 7.000   5.943  5.038
0.015 7.000   2.584  2.324
0.015 7.000   9.307  7.946
0.015 7.000   7.596  6.419
0.015 7.000   4.359  3.692
0.015 7.000   7.972  6.743
0.015 7.000   7.036  5.947
0.015 7.000   3.773  3.195
0.015 7.000  -1.235 -1.040
0.015 7.000   5.594  4.743
0.015 7.000   9.236  7.876
0.015 7.000   1.354  1.399
0.015 7.000  -0.065  0.076
0.015 7.000   1.030  1.106
0.015 7.000   7.176  6.064
0.015 7.000   3.832  3.245
0.015 7.000   4.344  3.680
0.015 7.000   3.271  2.781
0.015 7.000   5.844  4.954
0.015 7.000   2.530  2.245
0.015 7.000   8.785  7.455
0.015 7.000   8.284  7.019
0.015 7.000   7.727  6.531
0.015 7.000   5.049  4.281
0.015 7.000  -0.864 -0.685
0.015 7.000   3.801  3.219
0.015 7.000   1.862  1.823
0.015 7.000   0.094  0.226
0.015 7.000   6.204  5.256
0.015 7.000   6.706  5.674
0.015 7.000   5.179  4.391
0.015 7.000   6.767  5.725
0.015 7.000   1.280  1.333
0.015 7.000   0.847  0.936
0.015 7.000   6.825  5.773
0.015 7.000  -1.741 -1.526
0.015 7.000   7.621  6.440
0.015 7.000   8.234  6.974
0.015 7.000   6.363  5.389
0.015 7.000   8.572  7.270
0.015 7.000   7.879  6.663
0.015 7.000   8.074  6.833
0.015 7.000   7.250  6.126
0.015 7.000  -0.115  0.029
0.015 7.000   0.108  0.240
0.015 7.000  -3.220 -2.939
0.015 7.000   3.964  3.357
0.015 7.000   4.980  4.222
0.015 7.000   6.086  5.158
0.015 7.000  -2.373 -2.141
0.015 7.000   2.951  2.528
0.015 7.000   8.922  7.579
0.015 7.000   0.731  0.827
0.015 7.000  -2.078 -1.853
0.015 7.000   5.333  4.521
0.015 7.000  -3.108 -2.831
0.015 7.000   7.424  6.271
0.015 7.000   4.624  3.919
0.015 7.000   8.026  6.790
0.015 7.000   5.859  4.967
0.015 7.000   7.468  6.309
0.015 7.000   5.595  4.744
0.015 7.000   1.695  1.694
0.015 7.000   7.606  6.427
0.015 7.000   1.410  1.448
0.015 7.000   0.402  0.518
0.015 7.000   0.618  0.721
0.015 7.000   8.384  7.109
0.015 7.000   8.209  6.953
0.015 7.000   7.251  6.126
0.015 7.000   1.487  1.516
0.015 7.000   0.916  1.000
0.015 7.100   3.484  3.012
0.015 7.100   3.260  2.842
0.015 7.100   1.652  1.657
0.015 7.100   7.088  6.016
0.015 7.100   0.519  0.628
0.015 7.100   8.356  7.097
0.015 7.100   3.168  2.821
0.015 7.100   6.252  5.324
0.015 7.100   1.968  1.921
0.015 7.100   8.326  7.070
0.015 7.100   6.166  5.253
0.015 7.100   2.185  2.092
0.015 7.100  -0.676 -0.506
0.015 7.100   6.497  5.528
0.015 7.100   7.379  6.258
0.015 7.100   7.762  6.581
0.015 7.100   3.988  3.420
0.015 7.100   7.677  6.508
0.015 7.100   8.329  7.073
0.015 7.100   7.196  6.106
0.015 7.100  -0.070  0.070
0.015 7.100   8.510  7.234
0.015 7.100   6.629  5.638
0.015 7.100   5.621  4.795
0.015 7.100   5.654  4.823
0.015 7.100   1.096  1.166
0.015 7.100   7.434  6.304
0.015 7.100   5.655  4.823
0.015 7.100   2.197  2.101
0.015 7.100   5.929  5.054
0.015 7.100   7.815  6.626
0.015 7.100   0.140  0.269
0.015 7.100   6.365  5.418
0.015 7.100   3.290  2.944
0.015 7.100   4.865  4.156
0.015 7.100   1.518  1.542
0.015 7.100   6.762  5.748
0.015 7.100   3.223  2.814
0.015 7.100   8.985  7.645
0.015 7.100   0.437  0.551
